Time,IndexTipX,IndexTipY,IndexTipZ,Trial
0.132963,0.003877,5.425775,-0.085472,4
0.144294,0.006177,5.424566,-0.086367,4
0.155537,0.007629,5.423416,-0.087608,4
0.166230,0.009688,5.421925,-0.089289,4
0.178089,0.011559,5.420268,-0.090746,4
0.188657,0.014226,5.418736,-0.091720,4
0.199597,0.017795,5.417266,-0.092546,4
0.211143,0.021621,5.415008,-0.093803,4
0.222346,0.024533,5.413024,-0.093949,4
0.233414,0.026846,5.411736,-0.093867,4
0.245125,0.028763,5.409760,-0.093720,4
0.255790,0.030236,5.408136,-0.092544,4
0.266661,0.030785,5.406498,-0.090886,4
0.277762,0.030322,5.405143,-0.088755,4
0.289078,0.027882,5.403499,-0.087999,4
0.299701,0.025592,5.402677,-0.085427,4
0.311163,0.021685,5.401986,-0.083918,4
0.321622,0.018258,5.401813,-0.081236,4
0.333217,0.014343,5.401837,-0.078344,4
0.344540,0.009266,5.402312,-0.074822,4
0.355157,0.004540,5.402593,-0.071634,4
0.366789,-0.000651,5.403071,-0.068061,4
0.377443,-0.005691,5.404083,-0.064529,4
0.388709,-0.011938,5.405123,-0.061009,4
0.399315,-0.016189,5.405966,-0.056767,4
0.411186,-0.022300,5.407044,-0.054004,4
0.422232,-0.028098,5.408183,-0.048558,4
0.432811,-0.032256,5.408611,-0.043817,4
0.444427,-0.039474,5.409309,-0.038340,4
0.455741,-0.044267,5.409663,-0.032671,4
0.466607,-0.048927,5.409844,-0.027067,4
0.477570,-0.054068,5.410252,-0.021985,4
0.488692,-0.059428,5.410291,-0.016226,4
0.499994,-0.065132,5.410202,-0.010486,4
0.510963,-0.070823,5.409900,-0.004397,4
0.521926,-0.075956,5.409267,0.001313,4
0.533198,-0.081480,5.408742,0.007222,4
0.544363,-0.087596,5.407014,0.013483,4
0.555275,-0.091991,5.404620,0.017345,4
0.566982,-0.099129,5.401778,0.022386,4
0.577154,-0.103491,5.399392,0.025954,4
0.589039,-0.109996,5.395101,0.030045,4
0.599788,-0.114788,5.391508,0.033191,4
0.610945,-0.121755,5.387341,0.036479,4
0.622202,-0.129002,5.383244,0.038892,4
0.633336,-0.134421,5.379239,0.041612,4
0.643893,-0.141027,5.373614,0.045423,4
0.655419,-0.146016,5.368882,0.048486,4
0.666406,-0.152312,5.362500,0.051349,4
0.677169,-0.157667,5.357361,0.052193,4
0.688934,-0.164793,5.351197,0.053476,4
0.699878,-0.168689,5.346984,0.054100,4
0.711032,-0.173321,5.342354,0.054032,4
0.721788,-0.178535,5.337560,0.053108,4
0.732891,-0.183271,5.333761,0.052813,4
0.744097,-0.189371,5.328723,0.050599,4
0.755030,-0.194508,5.324636,0.048519,4
0.766499,-0.199506,5.319265,0.047965,4
0.778104,-0.202661,5.315389,0.047821,4
0.009014,-0.205704,5.310803,0.047942,5
0.020067,-0.207951,5.306672,0.048682,5
0.030689,-0.210062,5.303594,0.049064,5
0.042265,-0.212505,5.300002,0.050643,5
0.053052,-0.214348,5.297301,0.051756,5
0.064463,-0.216150,5.293715,0.053441,5
0.075275,-0.216878,5.291229,0.054331,5
0.086661,-0.218146,5.288116,0.055789,5
0.097154,-0.219123,5.285796,0.057016,5
0.108898,-0.220568,5.282683,0.058136,5
0.119435,-0.221437,5.280877,0.058078,5
0.131522,-0.221869,5.278824,0.058480,5
0.142279,-0.222539,5.276871,0.058790,5
0.152952,-0.221857,5.275722,0.058481,5
0.164094,-0.221769,5.274489,0.057982,5
0.174788,-0.221904,5.273733,0.056113,5
0.186285,-0.221666,5.273021,0.053665,5
0.197616,-0.222253,5.272777,0.049501,5
0.209045,-0.222842,5.272645,0.044244,5
0.219517,-0.223434,5.272670,0.035777,5
0.230463,-0.224922,5.272865,0.022631,5
0.241999,-0.226007,5.273077,0.004642,5
0.252791,-0.227514,5.273570,-0.012964,5
0.263507,-0.229740,5.274420,-0.036841,5
0.275344,-0.232625,5.275412,-0.062247,5
0.287097,-0.235622,5.276786,-0.090700,5
0.298299,-0.238614,5.277779,-0.122395,5
0.308104,-0.241270,5.279105,-0.155203,5
